koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,label
CONFIRMED,5.007316661,4.2362,6932.3,6.96,998.0,234.28,431.4,5865.0,4.563,0.827,1
CONFIRMED,2.211116989,1.6485,724.2,1.85,931.0,177.19,42.6,4500.0,4.656,0.646,1
CONFIRMED,27.9541337,3.95,942.5,1.9,400.0,6.04,25.4,4500.0,4.656,0.646,1
CONFIRMED,12.69104387,3.7727,252.1,2.57,1008.0,244.3,60.2,5869.0,4.024,1.626,1
FALSE POSITIVE,4.409409243,3.8636,12861.0,10.95,1101.0,347.06,85.8,5600.0,4.368,0.975,0
CONFIRMED,16.23947096,4.0374,2590.7,4.14,598.0,30.14,123.8,5191.0,4.564,0.837,1
CONFIRMED,6.308201629,2.9785,1328.5,2.96,819.0,106.44,86.2,5191.0,4.564,0.837,1
CONFIRMED,2.052349884,2.0778,14280.6,13.12,1497.0,1183.18,1072.1,5855.0,4.393,1.08,1
CONFIRMED,9.7704486,2.4517,1897.8,2.23,460.0,10.59,58.0,3906.0,4.73,0.509,1
CONFIRMED,5.169804269,2.153,1037.4,1.66,569.0,24.75,41.4,3906.0,4.73,0.509,1
CONFIRMED,21.22261195,6.5093,366.0,2.48,771.0,83.56,114.9,5945.0,4.213,1.302,1
CONFIRMED,20.09017037,4.154,1432.1,2.25,362.0,4.05,36.9,3906.0,4.73,0.509,1
CONFIRMED,7.11373257,2.1764,807.6,1.16,429.0,8.01,44.4,3561.0,4.855,0.411,1
CONFIRMED,3.306551643,1.8177,509.2,0.91,554.0,22.19,37.8,3561.0,4.855,0.411,1
CONFIRMED,15.36845737,2.4714,756.1,1.11,332.0,2.86,30.9,3561.0,4.855,0.411,1
CONFIRMED,13.81020318,3.048,1309.7,4.56,833.0,113.75,46.2,5942.0,4.327,1.142,1
CONFIRMED,4.093578461,2.5833,538.6,2.85,1182.0,461.07,36.4,6077.0,4.471,0.999,1
CONFIRMED,105.145959,8.593,685.4,3.43,401.0,6.09,15.4,6077.0,4.471,0.999,1
CONFIRMED,10.8484518,2.9993,1675.6,2.34,499.0,14.66,64.5,4201.0,4.682,0.591,1
CONFIRMED,6.66833241,1.915,362.3,1.18,587.0,28.06,14.2,4201.0,4.682,0.591,1
CONFIRMED,4.082274889,3.23015,17859.2,10.55,1016.0,251.48,1669.1,5655.0,4.581,0.794,1
CONFIRMED,42.1406089,5.083,895.5,1.85,349.0,3.49,21.6,4500.0,4.656,0.646,1
CONFIRMED,4.617490562,2.2618,575.8,1.62,728.0,66.47,28.1,4500.0,4.656,0.646,1
CONFIRMED,10.19849255,2.4283,634.1,1.75,559.0,23.11,21.4,4500.0,4.656,0.646,1
FALSE POSITIVE,5.795063956,3.2496,1692.9,4.33,950.0,192.74,119.4,5865.0,4.563,0.827,0
CONFIRMED,7.15681552,2.5882,867.0,2.47,782.0,88.23,47.7,5029.0,4.494,0.838,1
CONFIRMED,17.64830851,2.0873,763.3,2.43,579.0,26.49,23.8,5029.0,4.494,0.838,1
CONFIRMED,4.14810719,2.535,175.2,1.08,938.0,182.76,12.9,5029.0,4.494,0.838,1
CONFIRMED,16.51410989,4.1575,973.5,2.72,655.0,43.57,55.9,5527.0,4.488,0.866,1
CONFIRMED,30.1329298,5.172,1015.8,3.14,536.0,19.55,44.8,5527.0,4.488,0.866,1
CONFIRMED,4.79090809,2.603,251.3,1.36,990.0,227.24,21.2,5527.0,4.488,0.866,1
CONFIRMED,31.71981013,4.819,363.4,3.09,743.0,71.97,63.1,5869.0,4.024,1.626,1
CONFIRMED,99.6415962,4.448,952.5,2.64,360.0,3.97,22.7,5527.0,4.488,0.866,1
CONFIRMED,4.708326451,3.16114,7912.7,10.6,1162.0,431.02,633.4,5560.0,4.246,1.21,1
